Rank,Artist,Monthly Listeners
240,TINI,24287790
241,Swedish House Mafia,24276467
242,Bob Marley,24268927
243,2pac,24063171
244,Natasha Bedingfield,24062117
245,Gorillaz,24024401
246,Myles Smith,23853106
247,The Lumineers,23850845
248,Vishal Mishra,23771951
249,Anirudh Ravichander,23747030
250,French Montana,23602394
251,Empire of the Sun,23552480
252,System Of A Down,23541005
253,Kim Petras,23523682
254,Yandel,23503826
255,KK,23442610
256,Natanael Cano,23389539
257,Fall Out Boy,23174772
258,Bryson Tiller,23147306
259,Vance Joy,23076469
260,Tory Lanez,23054722
261,Ryan Lewis,23042279
262,Robin Schulz,23016027
263,Chris Stapleton,22978194
264,Phil Collins,22870367
265,Marvin Gaye,22859809
266,Lil Nas X,22805661
267,Måneskin,22756753
268,G-Eazy,22723839
269,Burna Boy,22674244
270,Afrojack,22668730
271,Atif Aslam,22632282
272,Christian Nodal,22586415
273,Sebastian Yatra,22577111
274,a-ha,22505959
275,Shankar Mahadevan,22487583
276,Kings of Leon,22469409
277,Conan Gray,22392480
278,Nickelback,22382339
279,Nicki Nicole,22379223
280,Kid Cudi,22360968
281,Martin Garrix,22349045
282,Rema,22331558
283,TV Girl,22316842
284,Hotel Ugly,22312677
285,Summer Walker,22295823
286,Camilo,22292594
287,Offset,22270883
288,Paramore,22194140
289,John Legend,22115821
290,Glass Animals,22080930
291,Brent Faiyaz,22039838
292,Disclosure,21929718
293,Bastille,21917527
294,Elley Duhé,21895344
295,Florence + The Machine,21824768
296,Amy Winehouse,21811643
297,Anderson .Paak,21781567
298,Young Miko,21751579
299,Disturbed,21704823
300,Bryan Adams,21550032
301,Tainy,21509741
302,Timbaland,21495412
303,Stephen Sanchez,21465279
304,El Alfa,21450900
305,DJ Khaled,21431594
306,Reik,21422700
307,Aerosmith,21333123
308,Dominic Fike,21294581
309,Ovy On The Drums,21239888
310,Lil Tecca,21211378
311,Panic! at the Disco,21185568
312,Tyla,21171096
313,Felix Jaehn,21160784
314,Tyga,21127770
315,Mohit Chauhan,21104556
316,Luis R Conriquez,21068269
317,Lil Durk,21037242
318,Rels B,21000774
319,Alesso,20935288
320,Kapo,20909899
321,Bon Iver,20891566
322,Big Sean,20884471
323,Joji,20756835
324,Luis Fonsi,20723041
325,Ryan Castro,20688299
326,Blessd,20682415
327,Mithoon,20655445
328,Dasha,20558306
329,Surf Curse,20549768
330,blink-182,20536289
331,Eagles,20519962
332,Tiago PZK,20460928
333,Alka Yagnik,20454611
334,Trueno,20401093
335,JVKE,20389389
336,Keinemusik,20324955
337,Roddy Ricch,20306834
338,Ruth B.,20304095
339,Rvssian,20298222
340,Aventura,20202045
341,Foster The People,20177175
342,Clairo,20143062
343,Shankar-Ehsaan-Loy,20079369
344,George Michael,20054586
345,girl in red,19977637
346,Daft Punk,19963022
347,Bill Withers,19952172
348,Badshah,19924785
349,Jung Kook,19913680
350,Mc Gw,19896124
351,Quavo,19892055
352,The Offspring,19890518
353,Sevdaliza,19877810
354,Lorde,19866540
355,Pop Smoke,19844252
356,Kacey Musgraves,19790413
357,Dolly Parton,19782141
358,Diljit Dosanjh,19762797
359,Mac DeMarco,19758520
360,U2,19737337
